"","MSZoning","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","Exterior1st","Exterior2nd","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","HeatingQC","CentralAir","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","SaleCondition","GarageYrBlt","MSSubClass","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","LotFrontage","MasVnrArea","Electrical","MoSold","YrSold","SalePrice","t"
"653","RL","Reg","Lvl","CollgCr","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","Unf","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1996",60,8750,7,5,1996,1996,0,880,880,909,807,1716,0,2,1,2,1,7,1,2,512,0,120,70,0,"SBrkr",7,2009,191000,Jul 2009
"654","RM","Reg","Lvl","IDOTRR","1Fam","1.5Fin","MetalSd","MetalSd","TA","CBlock","TA","No","Unf","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1906",50,10320,6,7,1906,1995,0,756,756,756,713,1469,0,1,0,3,1,7,0,1,216,57,0,60,0,"SBrkr",6,2008,135000,Jun 2008
"655","RL","IR1","Lvl","NoRidge","1Fam","1Story","MetalSd","MetalSd","Gd","PConc","Gd","Gd","GLQ","Ex","Y","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1995",20,10437,8,6,1995,1995,1696,413,2109,2113,0,2113,1,2,1,2,1,7,1,3,839,236,46,91,660,"SBrkr",8,2008,350000,Aug 2008
"656","RM","Reg","Lvl","BrDale","Twnhs","2Story","HdBoard","ImStucc","TA","CBlock","TA","No","Unf","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Family","1971",160,1680,6,5,1971,1971,0,525,525,525,567,1092,0,1,1,3,1,6,0,1,264,0,0,21,381,"SBrkr",3,2010,88000,Mar 2010
"657","RL","IR1","Lvl","NAmes","1Fam","1Story","HdBoard","HdBoard","Gd","CBlock","TA","No","ALQ","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","1959",20,10007,5,7,1959,2006,806,247,1053,1053,0,1053,1,1,1,3,1,5,0,1,312,0,0,72,54,"SBrkr",8,2008,145500,Aug 2008
"658","RL","Reg","HLS","Crawfor","1Fam","2Story","Stucco","Wd Shng","TA","BrkTil","Gd","No","Unf","TA","Y","TA","Typ","Gd","Attchd","RFn","TA","TA","P","Normal","1931",70,7200,7,6,1931,2000,0,776,776,851,651,1502,0,1,1,3,1,6,1,1,270,0,0,60,0,"SBrkr",2,2008,149000,Feb 2008
"659","RL","Reg","Lvl","NAmes","1Fam","1.5Fin","VinylSd","VinylSd","TA","CBlock","TA","No","Unf","TA","Y","TA","Typ","Gd","Attchd","Unf","TA","TA","Y","Abnorml","1948",50,17503,6,5,1948,1950,0,912,912,912,546,1458,0,1,0,3,1,6,1,1,330,192,0,78,0,"SBrkr",1,2010,97500,Jan 2010
"660","RL","Reg","Lvl","Edwards","1Fam","1Story","MetalSd","MetalSd","TA","PConc","TA","No","BLQ","Ex","Y","TA","Typ","None","Detchd","Fin","TA","TA","Y","Normal","1968",20,9937,5,7,1964,1999,637,849,1486,1486,0,1486,1,1,0,3,1,7,0,2,480,0,0,75,0,"SBrkr",3,2009,167000,Mar 2009
"661","RL","Reg","Lvl","NWAmes","1Fam","2Story","Plywood","Plywood","TA","CBlock","Gd","No","Unf","TA","Y","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1976",60,12384,7,7,1976,1976,0,793,793,1142,793,1935,0,2,1,3,1,7,1,2,550,0,113,48,233,"SBrkr",11,2007,197900,Nov 2007
"662","RL","IR2","Lvl","NoRidge","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1994",60,46589,8,7,1994,2005,1361,88,1629,1686,762,2448,1,2,1,4,1,8,1,3,711,517,76,52,528,"SBrkr",7,2009,402000,Jul 2009
"663","RL","Reg","Lvl","NAmes","1Fam","1Story","Wd Sdng","Wd Sdng","TA","CBlock","Fa","No","Unf","Gd","Y","TA","Maj2","TA","Attchd","RFn","TA","TA","Y","Normal","1968",20,13560,6,3,1968,1968,0,1392,1392,1392,0,1392,1,1,0,2,1,5,2,2,576,0,0,120,216,"SBrkr",7,2009,110000,Jul 2009
"664","RL","Reg","Lvl","Edwards","1Fam","SFoyer","Plywood","Plywood","TA","CBlock","Gd","Av","BLQ","TA","Y","TA","Typ","None","Detchd","RFn","TA","TA","Y","Normal","1974",85,10012,4,5,1972,1972,920,38,1138,1181,0,1181,1,2,0,3,1,6,0,2,588,0,0,90,0,"SBrkr",4,2008,137500,Apr 2008
"665","RL","IR2","Lvl","Somerst","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Ex","Mn","GLQ","Ex","Y","Ex","Typ","Ex","Attchd","Fin","TA","TA","Y","Partial","2005",20,20896,8,5,2005,2006,1721,356,2077,2097,0,2097,1,1,1,1,1,8,1,3,1134,192,267,49,0,"SBrkr",1,2006,423000,Jan 2006
"666","RL","IR1","Lvl","Gilbert","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","Unf","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","2000",60,11194,8,5,2000,2000,0,1406,1406,1454,482,1936,0,2,1,3,1,7,1,2,504,188,124,106,40,"SBrkr",11,2006,230500,Nov 2006
"667","RL","IR1","Lvl","NAmes","1Fam","2Story","Plywood","Plywood","TA","CBlock","Gd","No","LwQ","TA","Y","TA","Sev","Po","CarPort","Unf","TA","TA","Y","Abnorml","1965",60,18450,6,5,1965,1979,187,111,1021,1465,915,2380,0,2,1,3,1,7,1,2,596,0,265,115,113,"SBrkr",8,2007,129000,Aug 2007
"668","RL","Reg","Lvl","SawyerW","1Fam","1Story","HdBoard","HdBoard","TA","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","Fa","Attchd","RFn","TA","TA","Y","Normal","1994",20,8125,6,5,1994,1998,1138,270,1408,1679,0,1679,1,2,0,3,1,7,1,2,575,224,42,65,258,"SBrkr",10,2008,193500,Oct 2008
"669","RL","Reg","Bnk","Sawyer","1Fam","1Story","CemntBd","Wd Sdng","TA","CBlock","TA","No","Rec","Gd","Y","TA","Min2","TA","Detchd","Unf","TA","TA","Y","Normal","1999",20,14175,5,6,1956,1987,988,200,1188,1437,0,1437,1,1,1,3,1,6,1,2,576,304,0,90,0,"SBrkr",11,2006,168000,Nov 2006
"670","RL","Reg","Lvl","Crawfor","1Fam","1Story","MetalSd","MetalSd","TA","BrkTil","Fa","No","Unf","Ex","Y","Fa","Typ","Gd","Detchd","Unf","TA","Fa","Y","Normal","1922",30,11600,4,5,1922,1950,0,700,700,1180,0,1180,0,1,0,2,1,5,1,1,252,0,0,80,0,"SBrkr",7,2006,137500,Jul 2006
"671","RL","Reg","Lvl","CollgCr","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","None","Attchd","Fin","TA","TA","Y","Normal","2005",60,8633,6,5,2005,2005,193,545,738,738,738,1476,1,2,1,3,1,7,0,2,540,100,35,64,0,"SBrkr",2,2009,173500,Feb 2009
"672","RH","Reg","Lvl","Edwards","1Fam","2Story","Wd Sdng","Wd Sdng","TA","BrkTil","TA","No","BLQ","TA","N","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1930",70,6629,6,6,1925,1950,551,121,672,697,672,1369,1,2,0,3,1,6,0,1,300,147,0,54,0,"SBrkr",7,2009,103600,Jul 2009
"673","RL","IR1","Lvl","Veenker","1Fam","1Story","Plywood","Plywood","Gd","CBlock","Gd","No","ALQ","TA","Y","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1977",20,11250,6,6,1977,1977,767,441,1208,1208,0,1208,1,1,1,3,1,6,1,2,546,198,42,78,0,"SBrkr",6,2006,165000,Jun 2006
"674","RL","Reg","Lvl","Crawfor","1Fam","1Story","CemntBd","CmentBd","TA","PConc","TA","No","GLQ","Ex","Y","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1957",20,14442,6,7,1957,2004,1186,291,1477,1839,0,1839,1,2,0,3,1,7,2,2,416,0,87,110,106,"SBrkr",6,2007,257500,Jun 2007
"675","RL","Reg","Lvl","NAmes","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","TA","No","Rec","TA","Y","TA","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","1965",20,9200,6,6,1965,1965,892,244,1136,1136,0,1136,1,1,0,3,1,5,1,1,384,426,0,80,0,"SBrkr",7,2008,140000,Jul 2008
"676","RL","Reg","Lvl","NPkVill","Twnhs","2Story","Plywood","Brk Cmn","TA","CBlock","TA","No","ALQ","TA","Y","TA","Typ","TA","Attchd","Unf","TA","TA","Y","Normal","1978",160,2289,6,6,1978,1978,311,544,855,855,586,1441,0,2,1,3,1,7,1,2,440,28,0,24,0,"SBrkr",4,2009,148500,Apr 2009
"677","RM","Reg","Lvl","OldTown","1Fam","2Story","AsbShng","Stucco","TA","BrkTil","TA","No","Unf","Fa","N","TA","Min2","None","2Types","Unf","Fa","Fa","N","Normal","1920",70,9600,4,2,1900,1950,0,1095,1095,1095,679,1774,1,2,0,4,2,8,0,3,779,0,0,60,0,"SBrkr",5,2006,87000,May 2006
"678","RL","Reg","Lvl","OldTown","1Fam","1Story","VinylSd","VinylSd","Gd","BrkTil","TA","No","Unf","Ex","Y","Gd","Typ","None","Detchd","Unf","Fa","Fa","N","Normal","1924",30,9022,5,8,1924,2006,0,768,768,792,0,792,0,1,0,2,1,5,0,1,240,316,0,52,0,"SBrkr",5,2009,109500,May 2009
"679","RL","IR1","Lvl","StoneBr","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Ex","Mn","Unf","Ex","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Partial","2008",20,11844,8,5,2008,2008,0,2046,2046,2046,0,2046,0,2,1,3,1,7,1,3,834,322,82,80,464,"SBrkr",7,2009,372500,Jul 2009
"680","RL","IR1","Lvl","Sawyer","1Fam","1Story","Wd Sdng","Wd Sdng","TA","CBlock","TA","No","Rec","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1963",20,9945,5,5,1961,1961,827,161,988,988,0,988,1,1,0,3,1,5,0,2,572,0,0,72,57,"SBrkr",10,2007,128500,Oct 2007
"681","RL","Reg","Lvl","SawyerW","TwnhsE","1Story","Plywood","Plywood","TA","CBlock","Gd","No","BLQ","TA","Y","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1980",120,8012,6,5,1980,1980,543,261,923,923,0,923,0,2,0,2,1,5,1,1,264,80,0,50,0,"SBrkr",5,2010,143000,May 2010
"682","RH","IR2","Bnk","SWISU","1Fam","1.5Fin","VinylSd","Stucco","TA","BrkTil","TA","No","Rec","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Abnorml","1968",50,4500,5,5,1932,2000,182,611,793,848,672,1520,0,1,0,3,1,6,0,1,281,0,0,55,0,"SBrkr",7,2009,159434,Jul 2009
"683","RL","Reg","HLS","ClearCr","1Fam","1Story","Wd Sdng","Wd Sdng","TA","PConc","Gd","Mn","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","Unf","TA","TA","Y","Normal","1996",120,2887,6,5,1996,1997,1003,288,1291,1291,0,1291,1,1,0,2,1,6,1,2,431,307,0,43,0,"SBrkr",11,2008,173000,Nov 2008
"684","RL","IR1","Lvl","CollgCr","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","GLQ","Ex","Y","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","2002",20,11248,9,5,2002,2002,1059,567,1626,1668,0,1668,1,2,0,3,1,7,1,3,702,257,45,90,215,"SBrkr",7,2007,285000,Jul 2007
"685","RL","IR2","Lvl","NoRidge","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","Unf","Gd","Y","TA","Typ","None","Attchd","Fin","TA","TA","Y","Normal","1998",60,16770,7,5,1998,1998,0,1195,1195,1195,644,1839,0,2,1,4,1,7,0,2,486,0,81,58,30,"SBrkr",6,2010,221000,Jun 2010
"686","RL","IR1","Lvl","StoneBr","TwnhsE","2Story","HdBoard","HdBoard","Gd","CBlock","Gd","Mn","GLQ","Gd","Y","Gd","Min1","TA","Attchd","Fin","TA","TA","Y","Normal","1984",160,5062,7,5,1984,1984,828,180,1190,1190,900,2090,1,2,0,3,1,6,1,2,577,219,0,42,0,"SBrkr",9,2007,207500,Sep 2007
"687","FV","Reg","Lvl","Somerst","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","Unf","Ex","Y","Gd","Typ","None","Attchd","Fin","TA","TA","Y","Partial","2007",60,10207,7,6,2007,2007,0,874,874,874,887,1761,0,3,0,3,1,7,0,2,578,144,105,84,0,"SBrkr",8,2007,227875,Aug 2007
"688","FV","IR2","Lvl","Somerst","TwnhsE","2Story","MetalSd","MetalSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","None","Detchd","Unf","TA","TA","Y","Normal","2004",160,5105,7,5,2004,2004,239,312,551,551,551,1102,0,2,1,2,1,4,0,2,480,0,60,35,0,"SBrkr",3,2007,148800,Mar 2007
"689","RL","Reg","HLS","StoneBr","1Fam","1Story","MetalSd","MetalSd","Gd","PConc","Gd","Av","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Partial","2007",20,8089,8,6,2007,2007,945,474,1419,1419,0,1419,1,2,0,2,1,7,1,2,567,140,0,60,0,"SBrkr",10,2007,392000,Oct 2007
"690","RL","IR1","Lvl","NridgHt","TwnhsE","1Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","ALQ","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2005",120,7577,6,5,2005,2006,20,1342,1362,1362,0,1362,0,2,0,2,1,6,1,2,460,192,28,61,256,"SBrkr",6,2007,194700,Jun 2007
"691","RM","Reg","Lvl","CollgCr","TwnhsE","1Story","VinylSd","VinylSd","Gd","PConc","Gd","Gd","GLQ","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","2004",120,4426,6,5,2004,2004,697,151,848,848,0,848,1,1,0,1,1,3,1,2,420,149,0,34,147,"SBrkr",5,2008,141000,May 2008
"692","RL","IR1","Lvl","NoRidge","1Fam","2Story","HdBoard","HdBoard","Ex","PConc","Ex","Gd","GLQ","Ex","Y","Ex","Typ","Ex","Attchd","Fin","TA","TA","Y","Normal","1994",60,21535,10,6,1994,1995,1455,989,2444,2444,1872,4316,0,3,1,4,1,10,2,3,832,382,50,104,1170,"SBrkr",1,2007,755000,Jan 2007
"693","RL","IR1","Lvl","Timber","1Fam","2Story","MetalSd","MetalSd","Gd","PConc","Gd","Gd","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","1989",60,26178,7,5,1989,1990,965,245,1210,1238,1281,2519,1,2,1,4,1,9,2,2,628,320,27,42,293,"SBrkr",4,2006,335000,Apr 2006
"694","RL","Reg","Lvl","OldTown","1Fam","1Story","MetalSd","MetalSd","TA","BrkTil","TA","No","Unf","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Abnorml","1968",30,5400,5,6,1921,1968,0,1073,1073,1073,0,1073,0,1,0,2,1,4,0,1,326,0,0,60,0,"SBrkr",12,2006,108480,Dec 2006
"695","RM","Reg","Lvl","BrkSide","1Fam","1.5Fin","Wd Sdng","Wd Sdng","TA","BrkTil","TA","No","Unf","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1995",50,6120,5,6,1936,1950,0,927,927,1067,472,1539,0,1,1,3,1,5,0,2,576,112,0,51,0,"SBrkr",4,2009,141500,Apr 2009
"696","RL","IR1","Lvl","Timber","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","Gd","No","GLQ","Gd","Y","Gd","Typ","TA","Attchd","Unf","TA","TA","Y","Normal","1987",20,13811,6,6,1987,1987,980,92,1112,1137,0,1137,1,2,0,2,1,5,1,2,551,125,0,54,72,"SBrkr",7,2006,176000,Jul 2006
"697","RM","Reg","Lvl","BrkSide","1Fam","1Story","Wd Sdng","Wd Shng","TA","CBlock","TA","No","LwQ","Gd","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1921",30,6000,5,7,1921,1950,616,0,616,616,0,616,0,1,0,2,1,4,0,1,205,0,0,50,0,"SBrkr",6,2006,89000,Jun 2006
"698","RL","IR1","Lvl","Edwards","1Fam","1Story","Wd Sdng","Wd Sdng","TA","PConc","Ex","Mn","LwQ","Fa","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1952",20,6420,5,7,1952,1952,210,219,980,1148,0,1148,0,1,0,2,1,6,0,1,308,0,0,57,0,"FuseA",9,2006,123500,Sep 2006
"699","RL","Reg","Lvl","Sawyer","1Fam","1Story","MetalSd","MetalSd","TA","CBlock","TA","No","GLQ","Ex","Y","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Normal","1973",20,8450,5,8,1965,2009,553,224,894,894,0,894,1,1,0,3,1,5,1,1,336,416,144,65,0,"SBrkr",4,2010,138500,Apr 2010
"700","FV","IR2","Lvl","Somerst","TwnhsE","1Story","MetalSd","MetalSd","Gd","PConc","Gd","Mn","GLQ","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","2004",120,4282,7,5,2004,2004,16,1375,1391,1391,0,1391,0,2,0,2,1,5,0,2,530,156,158,59,0,"SBrkr",7,2008,196000,Jul 2008
"701","RL","Reg","Lvl","Timber","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Ex","Gd","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","2002",20,14331,8,5,2002,2002,1274,526,1800,1800,0,1800,1,2,0,3,1,7,1,3,765,270,78,85,630,"SBrkr",5,2006,312500,May 2006
"702","RL","Reg","Lvl","NWAmes","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","TA","No","Unf","TA","Y","TA","Typ","None","Attchd","Unf","TA","TA","Y","Normal","1969",20,9600,7,5,1969,1969,0,1164,1164,1164,0,1164,0,1,1,3,1,6,0,2,528,0,0,80,168,"SBrkr",7,2006,140000,Jul 2006
"703","RL","IR1","Lvl","StoneBr","1Fam","2Story","VinylSd","VinylSd","Ex","PConc","Ex","No","Unf","Ex","Y","Ex","Typ","Gd","BuiltIn","Fin","TA","TA","Y","Partial","2006",60,12438,8,5,2006,2006,0,1234,1234,1264,1312,2576,0,2,1,4,1,10,1,3,666,324,100,82,466,"SBrkr",7,2006,361919,Jul 2006
"704","RM","Reg","Lvl","OldTown","2fmCon","2Story","Wd Sdng","Wd Sdng","TA","BrkTil","Gd","No","Unf","Gd","Y","Gd","Typ","Po","Detchd","Unf","TA","TA","N","Normal","1999",190,7630,5,9,1900,1996,0,360,360,1032,780,1812,0,2,0,4,2,8,1,2,672,344,0,76,0,"SBrkr",5,2010,140000,May 2010
"705","RL","Reg","Lvl","CollgCr","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","GLQ","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","2004",20,8400,7,5,2004,2005,712,761,1473,1484,0,1484,1,2,0,3,1,7,0,2,606,0,35,70,109,"SBrkr",5,2010,213000,May 2010
"706","RM","Reg","Lvl","IDOTRR","2fmCon","2Story","VinylSd","Wd Shng","Fa","Slab","None","None","None","Fa","N","Fa","Mod","None","None","None","None","None","N","Normal","None",190,5600,4,5,1930,1950,0,0,0,372,720,1092,0,2,0,3,2,7,0,0,0,0,0,70,0,"SBrkr",7,2010,55000,Jul 2010
"707","RL","IR2","Low","ClearCr","1Fam","1Story","Plywood","Plywood","TA","CBlock","Gd","Gd","GLQ","TA","Y","Gd","Typ","TA","Attchd","Unf","TA","TA","Y","Normal","1971",20,115149,7,5,1971,2002,1219,424,1643,1824,0,1824,1,2,0,2,1,5,2,2,739,380,48,48,351,"SBrkr",6,2007,302000,Jun 2007
"708","RL","Reg","Lvl","NridgHt","TwnhsE","1Story","MetalSd","MetalSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","2006",120,6240,8,5,2006,2006,863,461,1324,1324,0,1324,1,2,0,2,1,6,1,2,550,192,38,48,176,"SBrkr",12,2009,254000,Dec 2009
"709","RL","IR1","Lvl","Gilbert","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","Unf","Ex","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Partial","2007",60,9018,7,5,2007,2007,0,728,728,728,728,1456,0,2,1,3,1,8,1,2,400,100,24,65,0,"SBrkr",7,2007,179540,Jul 2007
"710","RL","IR1","Lvl","Sawyer","1Fam","1Story","HdBoard","HdBoard","TA","PConc","TA","No","Unf","TA","Y","TA","Typ","None","Attchd","Unf","TA","TA","Y","Abnorml","1966",20,7162,5,7,1966,1966,0,876,876,904,0,904,0,1,0,3,1,6,0,1,408,0,0,69,41,"SBrkr",12,2008,109900,Dec 2008
"711","RL","IR1","Lvl","BrkSide","1Fam","1Story","VinylSd","VinylSd","Gd","CBlock","TA","No","Unf","Gd","Y","TA","Maj2","None","None","None","None","None","N","Normal","None",30,4130,3,6,1935,2003,0,270,270,729,0,729,0,1,0,2,1,5,0,0,0,0,0,56,0,"SBrkr",7,2008,52000,Jul 2008
"712","C (all)","Reg","HLS","IDOTRR","1Fam","1.5Fin","MetalSd","MetalSd","TA","Stone","TA","Mn","Unf","Gd","Y","TA","Typ","None","Detchd","RFn","TA","TA","N","Abnorml","1964",50,8712,4,7,1900,1950,0,859,859,859,319,1178,0,1,0,2,1,7,0,1,384,68,0,66,0,"SBrkr",1,2010,102776,Jan 2010
"713","RL","IR1","HLS","StoneBr","TwnhsE","1Story","HdBoard","HdBoard","Gd","PConc","Gd","Mn","GLQ","Gd","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","1988",120,4671,8,5,1988,1989,767,461,1228,1228,0,1228,1,2,0,2,1,5,1,2,472,168,120,40,0,"SBrkr",10,2008,189000,Oct 2008
"714","RL","Reg","Lvl","BrkSide","2fmCon","1Story","HdBoard","HdBoard","TA","CBlock","TA","Av","ALQ","TA","N","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1970",190,9873,4,5,1970,1970,789,171,960,960,0,960,1,1,0,3,1,6,0,2,576,0,288,60,160,"SBrkr",5,2006,129000,May 2006
"715","RL","IR1","Lvl","Sawyer","1Fam","2Story","HdBoard","Plywood","Gd","CBlock","TA","No","GLQ","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","1976",60,13517,6,8,1976,2005,533,192,725,725,754,1479,0,2,1,3,1,6,0,2,475,0,44,78,289,"SBrkr",3,2010,130500,Mar 2010
"716","RL","Reg","Lvl","NWAmes","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","Gd","No","Unf","TA","Y","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1974",20,10140,6,5,1974,1974,0,1064,1064,1350,0,1350,0,2,0,3,1,7,1,2,478,0,0,78,174,"SBrkr",8,2009,165000,Aug 2009
"717","RM","Reg","Bnk","OldTown","1Fam","2Story","Wd Sdng","VinylSd","TA","BrkTil","TA","No","Unf","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","P","Normal","1996",70,10800,7,8,1890,1998,0,718,718,1576,978,2554,0,1,1,3,1,8,0,2,704,0,48,60,0,"SBrkr",7,2007,159500,Jul 2007
"718","RL","Reg","Lvl","NWAmes","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","Gd","No","BLQ","Gd","Y","Gd","Typ","Fa","Attchd","Unf","TA","TA","Y","Normal","1973",20,10000,5,6,1973,2000,1084,92,1176,1178,0,1178,0,1,1,3,1,5,1,2,439,224,0,80,0,"SBrkr",11,2008,157000,Nov 2008
"719","RL","Reg","Lvl","NoRidge","1Fam","2Story","Wd Sdng","ImStucc","Gd","PConc","Gd","Gd","GLQ","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1993",60,10542,7,5,1993,1994,1173,138,1311,1325,1093,2418,1,2,1,3,1,9,1,3,983,250,154,96,651,"SBrkr",8,2008,341000,Aug 2008
"720","RL","IR1","Lvl","CollgCr","1Fam","1Story","HdBoard","Plywood","TA","CBlock","Gd","Gd","ALQ","TA","Y","TA","Typ","Po","Attchd","Unf","TA","TA","Y","Normal","1969",20,9920,5,6,1969,1969,523,448,971,971,0,971,0,1,1,3,1,5,1,1,300,0,0,69,0,"SBrkr",5,2006,128500,May 2006
"721","RL","IR1","Low","StoneBr","1Fam","1Story","HdBoard","HdBoard","Gd","PConc","Gd","Gd","GLQ","TA","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1985",120,6563,8,5,1985,1985,1148,594,1742,1742,0,1742,1,2,0,2,1,5,1,2,564,114,28,48,0,"SBrkr",12,2006,275000,Dec 2006
"722","RM","Reg","Lvl","CollgCr","TwnhsE","1Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","GLQ","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","2004",120,4426,6,5,2004,2004,662,186,848,848,0,848,1,1,0,1,1,3,0,2,420,160,0,34,169,"SBrkr",5,2010,143000,May 2010
"723","RL","Reg","Lvl","NAmes","1Fam","1Story","MetalSd","MetalSd","TA","CBlock","TA","No","ALQ","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1994",20,8120,4,7,1970,1970,191,673,864,864,0,864,0,1,0,3,1,5,0,2,463,0,0,70,0,"SBrkr",7,2009,124500,Jul 2009
"724","RL","Reg","Lvl","Edwards","1Fam","1.5Fin","MetalSd","MetalSd","TA","PConc","TA","No","Unf","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1958",50,8172,4,6,1954,1972,0,941,941,997,473,1470,0,2,0,4,1,7,0,1,548,0,0,60,0,"SBrkr",5,2008,135000,May 2008
"725","RL","IR1","Lvl","Edwards","1Fam","1Story","CemntBd","CmentBd","Ex","PConc","Ex","No","GLQ","Ex","Y","Ex","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","2007",20,13286,9,5,2007,2008,1234,464,1698,1698,0,1698,1,2,0,3,1,8,1,3,768,327,64,86,340,"SBrkr",2,2009,320000,Feb 2009
"726","RL","Reg","Lvl","NAmes","1Fam","1Story","HdBoard","Plywood","TA","CBlock","TA","No","ALQ","TA","Y","Gd","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1989",20,6960,4,6,1970,1970,375,250,864,864,0,864,0,1,0,3,1,5,0,2,660,96,0,60,0,"SBrkr",11,2009,120500,Nov 2009
"727","RL","IR1","Lvl","Crawfor","1Fam","1Story","Wd Sdng","Plywood","Gd","CBlock","Gd","No","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","1988",20,21695,6,9,1988,2007,808,72,880,1680,0,1680,1,2,0,3,1,5,1,2,540,292,44,102,260,"SBrkr",12,2009,222000,Dec 2009
